Timestamp (UTC),Rear Left Tire Pressure (Bar)
"2025-07-10 19:15:34","3.025"
"2025-07-10 20:11:10","3.075"
"2025-07-10 20:37:06","3.025"
"2025-07-10 22:20:38","3.000"
"2025-07-10 23:59:21","2.950"
"2025-07-11 02:14:03","3.025"
"2025-07-11 03:13:46","3.050"
"2025-07-11 04:59:16","2.950"
"2025-07-11 05:08:15","2.925"
"2025-07-11 18:13:22","2.775"
"2025-07-11 19:02:50","2.850"
"2025-07-11 20:05:37","2.900"
"2025-07-11 21:23:44","2.825"
"2025-07-11 22:00:08","3.225"
"2025-07-12 00:27:59","3.150"
"2025-07-12 03:03:23","3.275"
"2025-07-12 03:42:59","3.175"
"2025-07-12 04:33:02","3.100"
"2025-07-12 05:25:52","3.100"
"2025-07-12 18:48:22","3.275"
"2025-07-12 20:59:40","3.275"
"2025-07-12 22:34:46","3.350"
"2025-07-13 00:19:40","3.275"
"2025-07-13 00:59:05","3.225"
"2025-07-13 18:51:51","3.175"
"2025-07-13 20:06:38","3.175"
"2025-07-13 21:15:58","3.175"
"2025-07-13 22:50:22","3.300"
"2025-07-14 02:25:52","3.150"
"2025-07-14 03:53:02","3.100"
"2025-07-14 04:36:48","3.050"
"2025-07-14 06:18:20","3.050"
"2025-07-14 18:05:56","3.125"
"2025-07-14 18:55:03","3.175"
"2025-07-14 19:39:52","3.175"
"2025-07-14 20:47:31","3.250"
"2025-07-14 21:12:35","3.225"
"2025-07-14 22:58:23","3.325"
"2025-07-14 23:35:17","3.325"
"2025-07-15 02:08:19","3.350"
"2025-07-15 02:58:35","3.325"
"2025-07-15 03:46:57","3.250"
"2025-07-15 04:47:36","3.225"
"2025-07-15 09:03:03","3.200"
"2025-07-15 09:31:26","3.075"
"2025-07-15 09:41:57","3.075"
"2025-07-15 13:33:56","3.100"
"2025-07-15 14:41:12","3.050"
"2025-07-15 20:02:05","3.350"
"2025-07-15 22:03:02","3.125"
"2025-07-15 23:10:03","3.300"
"2025-07-16 01:28:27","3.275"
"2025-07-16 01:55:37","3.250"
"2025-07-16 02:18:52","3.150"
"2025-07-16 21:37:27","3.175"
"2025-07-17 00:18:37","3.275"
"2025-07-17 01:51:42","3.250"
"2025-07-17 02:20:28","3.225"
"2025-07-17 16:47:45","3.175"
"2025-07-17 17:57:20","3.175"
"2025-07-17 19:58:01","3.325"
"2025-07-17 22:41:49","3.275"
"2025-07-17 23:16:34","3.225"
"2025-07-18 00:45:58","3.175"
"2025-07-18 01:43:00","3.250"
"2025-07-18 02:19:43","3.200"
"2025-07-18 03:44:47","3.125"
"2025-07-18 04:51:23","3.075"
"2025-07-18 17:00:00","3.025"
"2025-07-18 20:07:01","3.100"
"2025-07-18 21:45:50","3.275"
"2025-07-18 23:20:09","3.200"
"2025-07-19 01:13:42","3.225"
"2025-07-19 03:16:38","3.175"
"2025-07-19 04:00:27","3.175"
"2025-07-19 04:57:05","3.125"
"2025-07-19 10:04:40","2.925"
"2025-07-19 18:17:41","3.250"
"2025-07-19 20:35:51","3.325"
"2025-07-19 23:06:45","3.300"
"2025-07-19 23:21:58","3.225"
"2025-07-20 01:17:39","3.300"
"2025-07-20 02:36:04","3.225"
"2025-07-20 03:21:37","3.175"
"2025-07-20 03:58:31","3.100"
"2025-07-20 17:56:14","3.275"
"2025-07-20 18:19:15","3.150"
"2025-07-20 19:48:30","3.250"
"2025-07-20 20:58:52","3.250"
"2025-07-20 21:55:30","3.125"
"2025-07-20 23:47:59","3.025"
"2025-07-21 00:52:58","3.100"
"2025-07-21 02:03:41","3.050"
"2025-07-21 04:21:58","2.950"
"2025-07-21 07:08:50","2.975"
"2025-07-21 08:43:57","2.950"
"2025-07-21 18:15:18","3.000"
"2025-07-21 19:38:00","3.125"
"2025-07-21 21:00:31","3.175"
"2025-07-21 23:34:53","3.250"
"2025-07-22 01:20:35","3.200"
"2025-07-22 03:15:26","3.200"
"2025-07-22 04:33:59","3.150"
"2025-07-22 05:44:47","3.100"
"2025-07-22 07:15:40","3.150"
"2025-07-22 17:15:26","2.975"
"2025-07-22 22:31:52","3.200"
"2025-07-23 00:40:12","3.200"
"2025-07-23 01:02:29","3.150"
"2025-07-23 01:40:43","3.100"
"2025-07-23 21:09:55","3.250"
"2025-07-23 22:43:18","3.225"
"2025-07-24 00:09:55","3.250"
"2025-07-24 02:21:11","3.075"
"2025-07-24 18:37:29","3.250"
"2025-07-24 19:29:16","3.350"
"2025-07-24 21:12:16","3.275"
"2025-07-24 21:47:34","3.225"
"2025-07-24 22:29:46","3.250"
"2025-07-24 23:27:26","3.200"
"2025-07-25 16:57:00","3.250"
"2025-07-25 18:09:31","3.350"
"2025-07-25 19:42:46","3.250"
"2025-07-25 20:11:41","3.125"
"2025-07-25 21:26:54","3.175"
"2025-07-25 22:13:59","3.175"
"2025-07-26 00:23:25","3.225"
