Timestamp (UTC),Front Right Tire Pressure (Bar)
"2025-07-06 22:24:46","2.600"
"2025-07-06 22:48:07","2.625"
"2025-07-07 16:08:49","2.400"
"2025-07-08 00:15:48","2.375"
"2025-07-08 03:02:40","3.050"
"2025-07-08 05:16:43","2.975"
"2025-07-08 05:30:39","3.000"
"2025-07-08 23:02:56","2.825"
"2025-07-08 23:47:06","2.925"
"2025-07-09 01:06:08","2.950"
"2025-07-09 19:39:35","2.775"
"2025-07-09 21:39:23","2.850"
"2025-07-09 22:39:34","2.875"
"2025-07-10 00:04:39","2.875"
"2025-07-10 02:02:29","2.825"
"2025-07-10 02:56:39","2.850"
"2025-07-10 04:43:25","2.750"
"2025-07-10 15:22:45","2.575"
"2025-07-10 17:56:19","2.675"
"2025-07-10 19:13:18","2.825"
"2025-07-10 19:18:25","2.800"
"2025-07-10 20:11:40","2.800"
"2025-07-10 20:37:36","2.750"
"2025-07-10 22:20:38","2.750"
"2025-07-10 23:59:20","2.700"
"2025-07-11 02:13:31","2.750"
"2025-07-11 03:14:16","2.800"
"2025-07-11 04:59:16","2.700"
"2025-07-11 05:08:15","2.650"
"2025-07-11 18:13:19","2.425"
"2025-07-11 19:02:19","2.500"
"2025-07-11 20:05:34","2.550"
"2025-07-11 21:23:44","2.500"
"2025-07-11 21:59:39","2.600"
"2025-07-12 00:28:29","2.550"
"2025-07-12 03:03:23","2.600"
"2025-07-12 03:43:29","2.500"
"2025-07-12 04:33:02","2.425"
"2025-07-12 05:26:22","2.425"
"2025-07-12 18:47:52","3.325"
"2025-07-12 20:59:08","3.300"
"2025-07-12 22:34:16","3.325"
"2025-07-13 00:19:40","3.225"
"2025-07-13 00:59:05","3.225"
"2025-07-13 18:52:21","3.150"
"2025-07-13 20:06:38","3.200"
"2025-07-13 21:15:58","3.175"
"2025-07-13 22:50:22","3.275"
"2025-07-14 02:25:52","3.100"
"2025-07-14 03:52:30","3.075"
"2025-07-14 04:36:16","3.025"
"2025-07-14 06:18:49","3.050"
"2025-07-14 18:06:25","3.100"
"2025-07-14 18:54:52","3.150"
"2025-07-14 19:39:52","3.175"
"2025-07-14 20:47:31","3.250"
"2025-07-14 21:12:34","3.225"
"2025-07-14 22:58:23","3.275"
"2025-07-14 23:35:48","3.275"
"2025-07-15 02:08:50","3.300"
"2025-07-15 02:58:05","3.300"
"2025-07-15 03:47:27","3.275"
"2025-07-15 04:47:06","3.250"
"2025-07-15 09:02:34","3.175"
"2025-07-15 09:31:26","3.125"
"2025-07-15 09:41:58","3.125"
"2025-07-15 13:34:27","3.150"
"2025-07-15 14:40:53","3.075"
"2025-07-15 20:02:35","3.300"
"2025-07-15 22:02:32","3.150"
"2025-07-15 23:10:03","3.300"
"2025-07-16 01:28:46","3.275"
"2025-07-16 01:56:07","3.250"
"2025-07-16 02:19:22","3.175"
"2025-07-16 21:37:27","3.175"
"2025-07-17 00:18:37","3.325"
"2025-07-17 01:51:42","3.300"
"2025-07-17 02:20:28","3.275"
"2025-07-17 16:47:15","3.200"
"2025-07-17 17:57:19","3.250"
"2025-07-17 19:57:30","3.325"
"2025-07-17 22:41:48","3.275"
"2025-07-17 23:16:34","3.225"
"2025-07-18 00:45:58","3.275"
"2025-07-18 01:43:00","3.275"
"2025-07-18 02:19:14","3.300"
"2025-07-18 03:44:17","3.150"
"2025-07-18 04:50:53","3.075"
"2025-07-18 17:00:00","3.075"
"2025-07-18 20:07:02","3.100"
"2025-07-18 21:45:50","3.250"
"2025-07-18 23:19:40","3.200"
"2025-07-19 01:13:43","3.225"
"2025-07-19 03:17:07","3.175"
"2025-07-19 03:59:56","3.200"
"2025-07-19 04:56:34","3.100"
"2025-07-19 10:04:10","3.000"
"2025-07-19 18:18:10","3.250"
"2025-07-19 20:35:22","3.300"
"2025-07-19 23:06:43","3.275"
"2025-07-19 23:21:59","3.275"
"2025-07-20 01:17:10","3.300"
"2025-07-20 02:35:33","3.225"
"2025-07-20 03:22:07","3.175"
"2025-07-20 03:59:02","3.150"
"2025-07-20 17:56:15","3.250"
"2025-07-20 18:19:15","3.250"
"2025-07-20 19:48:29","3.300"
"2025-07-20 20:58:52","3.250"
"2025-07-20 21:56:00","3.200"
"2025-07-20 23:47:59","3.050"
"2025-07-21 00:52:26","3.125"
"2025-07-21 02:03:41","3.075"
"2025-07-21 02:07:25","3.050"
"2025-07-21 04:21:30","2.975"
"2025-07-21 07:08:47","2.975"
"2025-07-21 08:43:57","2.950"
"2025-07-21 18:14:47","3.000"
"2025-07-21 19:37:59","3.150"
"2025-07-21 21:00:12","3.175"
"2025-07-21 23:34:53","3.225"
"2025-07-22 01:21:02","3.200"
"2025-07-22 03:14:56","3.200"
"2025-07-22 04:34:27","3.150"
"2025-07-22 05:44:17","3.100"
"2025-07-22 07:15:07","3.150"
"2025-07-22 17:15:26","3.025"
"2025-07-22 22:32:22","3.250"
"2025-07-23 00:40:12","3.250"
"2025-07-23 01:02:39","3.200"
"2025-07-23 01:41:13","3.175"
"2025-07-23 21:10:26","3.300"
"2025-07-23 22:43:29","3.250"
"2025-07-24 00:10:26","3.300"
"2025-07-24 02:21:12","3.125"
"2025-07-24 18:37:29","3.300"
"2025-07-24 19:29:21","3.325"
"2025-07-24 21:12:46","3.300"
"2025-07-24 21:47:34","3.225"
"2025-07-24 22:29:16","3.300"
"2025-07-24 23:27:24","3.250"
"2025-07-25 16:57:30","3.350"
"2025-07-25 18:09:32","3.350"
"2025-07-25 19:42:44","3.250"
"2025-07-25 20:11:41","3.175"
"2025-07-25 21:27:12","3.200"
"2025-07-25 22:13:47","3.175"
"2025-07-26 00:22:56","3.225"
