Timestamp (UTC),Rear Right Tire Pressure (Bar)
"2025-07-14 06:18:49","2.900"
"2025-07-14 18:05:57","2.900"
"2025-07-14 18:55:04","2.925"
"2025-07-14 19:39:52","2.900"
"2025-07-14 20:47:31","3.000"
"2025-07-14 21:12:34","2.975"
"2025-07-14 22:58:53","3.075"
"2025-07-14 23:35:17","3.075"
"2025-07-15 02:08:19","3.050"
"2025-07-15 02:58:05","3.025"
"2025-07-15 03:46:57","2.950"
"2025-07-15 04:47:37","2.950"
"2025-07-15 09:02:33","2.875"
"2025-07-15 09:31:26","2.775"
"2025-07-15 09:41:57","2.775"
"2025-07-15 13:34:26","2.775"
"2025-07-15 14:41:11","2.700"
"2025-07-15 20:02:05","2.950"
"2025-07-15 22:02:31","2.800"
"2025-07-15 23:10:03","2.950"
"2025-07-16 01:28:27","2.900"
"2025-07-16 01:55:38","2.825"
"2025-07-16 02:19:22","2.750"
"2025-07-16 21:36:58","2.700"
"2025-07-17 00:18:37","2.775"
"2025-07-17 01:52:12","2.750"
"2025-07-17 02:20:58","2.725"
"2025-07-17 16:47:45","2.600"
"2025-07-17 17:57:20","2.600"
"2025-07-17 19:57:30","2.750"
"2025-07-17 22:41:48","2.675"
"2025-07-17 23:16:34","2.625"
"2025-07-18 00:46:29","2.600"
"2025-07-18 01:43:00","2.650"
"2025-07-18 02:19:13","2.625"
"2025-07-18 03:44:17","2.550"
"2025-07-18 04:51:22","2.475"
"2025-07-18 16:59:31","2.425"
"2025-07-18 20:07:02","2.450"
"2025-07-18 21:45:20","3.325"
"2025-07-18 23:19:40","3.250"
"2025-07-19 01:13:42","3.250"
"2025-07-19 03:16:38","3.225"
"2025-07-19 03:59:56","3.200"
"2025-07-19 04:56:33","3.175"
"2025-07-19 10:04:40","2.950"
"2025-07-19 18:17:40","3.225"
"2025-07-19 20:35:52","3.275"
"2025-07-19 23:07:14","3.225"
"2025-07-19 23:21:28","3.150"
"2025-07-20 01:17:10","3.250"
"2025-07-20 02:35:33","3.150"
"2025-07-20 03:22:07","3.100"
"2025-07-20 03:58:32","3.000"
"2025-07-20 17:56:15","3.125"
"2025-07-20 18:19:18","3.025"
"2025-07-20 19:49:00","3.100"
"2025-07-20 20:58:54","3.100"
"2025-07-20 21:55:29","2.950"
"2025-07-20 23:47:59","2.850"
"2025-07-21 00:52:26","2.925"
"2025-07-21 02:03:13","2.850"
"2025-07-21 02:07:26","2.825"
"2025-07-21 04:21:58","2.725"
"2025-07-21 07:08:46","2.725"
"2025-07-21 08:43:26","2.725"
"2025-07-21 18:15:19","2.750"
"2025-07-21 19:37:58","2.850"
"2025-07-21 21:00:12","2.900"
"2025-07-21 23:34:23","2.950"
"2025-07-22 01:21:02","2.900"
"2025-07-22 03:15:26","2.875"
"2025-07-22 04:33:58","2.800"
"2025-07-22 05:44:49","2.800"
"2025-07-22 07:15:37","2.825"
"2025-07-22 17:15:56","2.625"
"2025-07-22 22:32:22","2.800"
"2025-07-23 00:40:12","2.825"
"2025-07-23 01:02:09","2.775"
"2025-07-23 01:41:13","2.700"
"2025-07-23 21:10:25","2.750"
"2025-07-23 22:43:31","2.750"
"2025-07-24 00:10:25","2.750"
"2025-07-24 02:21:11","2.575"
"2025-07-24 18:37:00","2.675"
"2025-07-24 19:29:18","2.725"
"2025-07-24 21:12:45","2.700"
"2025-07-24 21:47:34","2.600"
"2025-07-24 22:29:15","2.650"
"2025-07-24 23:26:54","2.625"
"2025-07-25 16:57:00","2.600"
"2025-07-25 18:09:31","2.725"
"2025-07-25 19:43:14","2.600"
"2025-07-25 20:12:11","2.475"
"2025-07-25 21:27:23","2.500"
"2025-07-25 22:13:58","2.525"
"2025-07-26 00:23:25","2.575"
