Timestamp (UTC),Front Left Tire Pressure (Bar)
"2025-07-16 01:56:07","3.175"
"2025-07-16 02:19:22","3.125"
"2025-07-16 21:36:57","3.150"
"2025-07-17 00:19:07","3.250"
"2025-07-17 01:51:42","3.250"
"2025-07-17 02:20:58","3.300"
"2025-07-17 16:47:16","3.150"
"2025-07-17 17:57:19","3.200"
"2025-07-17 19:58:00","3.300"
"2025-07-17 22:41:48","3.225"
"2025-07-17 23:17:04","3.225"
"2025-07-18 00:45:58","3.250"
"2025-07-18 01:42:30","3.250"
"2025-07-18 02:19:13","3.250"
"2025-07-18 03:44:18","3.125"
"2025-07-18 04:50:53","3.025"
"2025-07-18 17:00:03","3.025"
"2025-07-18 20:07:31","3.050"
"2025-07-18 21:45:50","3.200"
"2025-07-18 23:19:40","3.150"
"2025-07-19 01:13:42","3.200"
"2025-07-19 03:16:37","3.125"
"2025-07-19 04:00:26","3.150"
"2025-07-19 04:56:33","3.050"
"2025-07-19 10:04:10","2.900"
"2025-07-19 18:17:40","3.200"
"2025-07-19 20:35:21","3.250"
"2025-07-19 23:07:14","3.250"
"2025-07-19 23:21:28","3.250"
"2025-07-20 01:17:10","3.250"
"2025-07-20 02:35:33","3.175"
"2025-07-20 03:21:37","3.150"
"2025-07-20 03:58:31","3.100"
"2025-07-20 17:56:33","3.200"
"2025-07-20 18:17:53","3.200"
"2025-07-20 19:49:00","3.250"
"2025-07-20 20:58:52","3.250"
"2025-07-20 21:55:59","3.150"
"2025-07-20 23:47:59","3.000"
"2025-07-21 00:52:26","3.075"
"2025-07-21 02:03:41","3.025"
"2025-07-21 02:07:26","3.000"
"2025-07-21 04:21:49","2.925"
"2025-07-21 07:08:50","2.900"
"2025-07-21 08:43:57","2.900"
"2025-07-21 18:14:48","2.950"
"2025-07-21 19:38:28","3.075"
"2025-07-21 21:00:13","3.125"
"2025-07-21 23:34:53","3.175"
"2025-07-22 01:20:33","3.150"
"2025-07-22 03:14:56","3.150"
"2025-07-22 04:33:59","3.100"
"2025-07-22 05:44:18","3.075"
"2025-07-22 07:15:06","3.100"
"2025-07-22 17:15:45","2.975"
"2025-07-22 22:31:52","3.200"
"2025-07-23 00:40:11","3.200"
"2025-07-23 01:02:09","3.150"
"2025-07-23 01:41:13","3.100"
"2025-07-23 21:10:26","3.250"
"2025-07-23 22:42:59","3.225"
"2025-07-24 00:10:26","3.250"
"2025-07-24 02:21:11","3.075"
"2025-07-24 18:37:02","3.250"
"2025-07-24 19:29:16","3.300"
"2025-07-24 21:12:15","3.225"
"2025-07-24 21:47:05","3.225"
"2025-07-24 22:29:15","3.225"
"2025-07-24 23:26:54","3.200"
"2025-07-25 16:57:00","3.300"
"2025-07-25 18:09:01","3.300"
"2025-07-25 19:42:45","3.200"
"2025-07-25 20:12:11","3.150"
"2025-07-25 21:27:23","3.125"
"2025-07-25 22:13:48","3.100"
"2025-07-26 00:22:56","3.175"
